"PaperID","PaperTitle","AuthorNames","CleanSessionName","SessionName","OrderinSession","SessionNum"
"S3.1","Demonstrating MuJoCo Playground","Kevin Zakka, Baruch Tabanpour, Qiayuan Liao, Mustafa Haiderbhai, Samuel Holt, Jing Yuan Luo, Arthur Allshire, Erik Frey, Koushil Sreenath, Lueder Alexander Kahrs, Carmelo Sferrazza, Yuval Tassa, Pieter Abbeel","Scaling Robot Learning","3. Scaling Robot Learning",1,3
"S3.2","Demonstrating GPU Parallelized Robot Simulation and Rendering for Generalizable Embodied AI with ManiSkill3","Stone Tao, Fanbo Xiang, Arth Shukla, Yuzhe Qin, Xander Hinrichsen, Xiaodi Yuan, Chen Bao, Xinsong Lin, Yulin Liu, Tse-Kai Chan, Yuan Gao, Xuanlin Li, Tongzhou Mu, Nan Xiao, Arnav Gurha, Viswesh N., Yong Woo Choi, Yen-Ru Chen, Zhiao Huang, Roberto Calandra, Rui Chen, Shan Luo, Hao Su","Scaling Robot Learning","3. Scaling Robot Learning",2,3
"S3.3","RoboVerse: A Unified Platform, Benchmark and Dataset for Scalable and Generalizable Robot Learning","Haoran Geng, Feishi Wang, Songlin Wei, Yuyang Li, Bangjun Wang, Boshi An, Haozhe Lou, Charlie Tianyue Cheng, Peihao Li, Haozhe Chen, Yutong Liang, Yuxi Qian, Jiageng Mao, Weikang Wan, Yiran Geng, Mingtong Zhang, Jiangran Lyu, Siheng Zhao, Jiazhao Zhang, Chaoyi Xu, Jialiang Zhang, Chengyang Zhao, Haoran Lu, Yufei Ding, Ran Gong, Yuran Wang, Yuxuan Kuang, Ruihai Wu, Baoxiong Jia, Hao Dong, Siyuan Huang, Yue Wang, Jitendra Malik, Pieter Abbeel","Scaling Robot Learning","3. Scaling Robot Learning",3,3
"S3.4","Robot Data Curation with Mutual Information Estimators","Joey Hejna, Suvir Mirchandani, Ashwin Balakrishna, Annie Xie, Ayzaan Wahid, Jonathan Tompson, Pannag R. Sanketi, Dhruv Shah, Coline Manon Devin, Dorsa Sadigh","Scaling Robot Learning","3. Scaling Robot Learning",4,3
"S3.5","Coherance-based Approximate Derivatives via Web of Affine Spaces Optimization","Daniel Rakita, Chen Liang, Qian Wang","Scaling Robot Learning","3. Scaling Robot Learning",5,3
"S3.6","Robot Learning with Super-Linear Scaling","Marcel Torne Villasevil, Arhan Jain, Jiayi Yuan, Vidyaaranya Macha, Lars Lien Ankile, Anthony Simeonov, Pulkit Agrawal, Abhishek Gupta","Scaling Robot Learning","3. Scaling Robot Learning",6,3
"S3.7","Action Flow Matching for Lifelong Learning","Alejandro Murillo-González, Lantao Liu","Scaling Robot Learning","3. Scaling Robot Learning",7,3
"S3.8","Solving Multi-Agent Safe Optimal Control with Distributed Epigraph Form MARL","Songyuan Zhang, Oswin So, Mitchell Black, Zachary Serlin, Chuchu Fan","Scaling Robot Learning","3. Scaling Robot Learning",8,3
"S3.9","RLDG: Robotic Generalist Policy Distillation via Reinforcement Learning","Charles Xu, Qiyang Li, Jianlan Luo, Sergey Levine","Scaling Robot Learning","3. Scaling Robot Learning",9,3
"S4.1","ROMAN: Open-Set Object Map Alignment for Robust View-Invariant Global Localization","Mason Peterson, Yixuan Jia, Yulun Tian, Annika Thomas, Jonathan P. How","Perception","4. Perception",1,4
"S4.2","GauSS-MI: Gaussian Splatting Shannon Mutual Information for Active 3D Reconstruction","Yuhan Xie, Yixi Cai, Yinqiang Zhang, Lei Yang, Jia Pan","Perception","4. Perception",2,4
"S4.3","LiDAR Registration with Visual Foundation Models","Niclas Vödisch, Giovanni Cioffi, Marco Cannici, Wolfram Burgard, Davide Scaramuzza","Perception","4. Perception",3,4
"S4.4","Building Rome with Convex Optimization","Haoyu Han, Heng Yang","Perception","4. Perception",4,4
"S4.5","Demonstrating MOSART: Opening Articulated Structures in the Real World","Arjun Gupta, Michelle Zhang, Rishik Sathua, Saurabh Gupta","Perception","4. Perception",5,4
"S4.6","Vysics: Object Reconstruction Under Occlusion by Fusing Vision and Contact-Rich Physics","Bibit Bianchini, Minghan Zhu, Mengti Sun, Bowen Jiang, Camillo Jose Taylor, Michael Posa","Perception","4. Perception",6,4
"S4.7","Implicit Neural-Representation Learning for Elastic Deformable-Object Manipulations","Jeongho Ha, Minseok Song, Bonggyeong Park, Daehyung Park","Perception","4. Perception",7,4
"S4.8","Particle-Grid Neural Dynamics for Learning Deformable Object Models from Depth Images","Kaifeng Zhang, Baoyu Li, Kris Hauser, Yunzhu Li","Perception","4. Perception",8,4
"S4.9","V-HOP: Visuo-Haptic 6D Object Pose Tracking","Hongyu Li, Mingxi Jia, Mete Tuluhan Akbulut, Yu Xiang, George Konidaris, Srinath Sridhar","Perception","4. Perception",9,4
"S4.10","Joint State and Noise Covariance Estimation","Kasra Khosoussi, Iman Shames","Perception","4. Perception",10,4
"S4.11","Map Space Belief Prediction for Manipulation-Enhanced Mapping","Joao Marcos Correia Marques, Nils Dengler, Jesper Mücke, Tobias Zaenker, Shenlong Wang, Maren Bennewitz, Kris Hauser","Perception","4. Perception",11,4
"S4.12","PINGS: Gaussian Splatting Meets Distance Fields within a Point-Based Implicit Neural Map","Yue Pan, Xingguang Zhong, Liren Jin, Louis Wiesmann, Marija Popovic, Jens Behley, Cyrill Stachniss","Perception","4. Perception",12,4
"S4.13","RAMEN: Real-time Asynchronous Multi-agent Neural Implicit Mapping","Hongrui Zhao, Boris Ivanovic, Negar Mehr","Perception","4. Perception",13,4
"S4.14","RoboPanoptes: The All-Seeing Robot with Whole-body Dexterity","Xiaomeng Xu, Dominik Bauer, Shuran Song","Perception","4. Perception",14,4
"S5.1","Bilevel Learning for Bilevel Planning","Bowen Li, Tom Silver, Sebastian Scherer, Alexander G. Gray","Planning","5. Planning",1,5
"S5.2","A Biconvex Method for Minimum-Time Motion Planning Through Sequences of Convex Sets","Tobia Marcucci, Mathew Halm, William Yang, Dongchan Lee, Andrew Marchese","Planning","5. Planning",2,5
"S5.3","Superfast Configuration-Space Convex Set Computation on GPUs for Online Motion Planning","Peter Werner, Richard Cheng, Tom Stewart, Russ Tedrake, Daniela Rus","Planning","5. Planning",3,5
"S5.4","Global Contact-Rich Planning with Sparsity-Rich Semidefinite Relaxations","Guorui Liu, Shucheng Kang, Heng Yang","Planning","5. Planning",4,5
"S5.5","On the Surprising Robustness of Sequential Convex Optimization for Contact-Implicit Motion Planning","Yulin Li, Haoyu Han, Shucheng Kang, Jun Ma, Heng Yang","Planning","5. Planning",5,5
"S5.6","Effective Sampling for Robot Motion Planning Through the Lens of Lattices","Itai Panasoff, Kiril Solovey","Planning","5. Planning",6,5
"S5.7","Efficient Hierarchical Any-Angle Path Planning on Multi-Resolution 3D Grids","Victor Reijgwart, Cesar Cadena, Roland Siegwart, Lionel Ott","Planning","5. Planning",7,5
"S5.8","Differentiable GPU-Parallelized Task and Motion Planning","William Shen, Caelan Reed Garrett, Nishanth Kumar, Ankit Goyal, Tucker Hermans, Leslie Pack Kaelbling, Tomás Lozano-Pérez, Fabio Ramos","Planning","5. Planning",8,5
"S5.9","Flow Matching Ergodic Coverage","Max Muchen Sun, Allison Pinosky, Todd Murphey","Planning","5. Planning",9,5
"S6.1","Reactive Diffusion Policy: Slow-Fast Visual-Tactile Policy Learning for Contact-Rich Manipulation","Han Xue, Jieji Ren, Wendi Chen, Gu Zhang, Fang Yuan, Guoying Gu, Huazhe Xu, Cewu Lu","Manipulation I","6. Manipulation I",1,6
"S6.2","Physics-Driven Data Generation for Contact-Rich Manipulation via Trajectory Optimization","Lujie Yang, H.j. Terry Suh, Tong Zhao, Bernhard Paus Graesdal, Tarik Kelestemur, Jiuguang Wang, Tao Pang, Russ Tedrake","Manipulation I","6. Manipulation I",2,6
"S6.3","ViTaSCOPE: Visuo-tactile Implicit Representation for In-hand Pose and Extrinsic Contact Estimation","Jayjun Lee, Nima Fazeli","Manipulation I","6. Manipulation I",3,6
"S6.4","Design of a low-cost and lightweight 6 DoF bimanual arm for dynamic and contact-rich manipulation","Jaehyung Kim, Jiho Kim, Dongryung Lee, Yujin Jang, Beomjoon Kim","Manipulation I","6. Manipulation I",4,6
"S6.5","PP-Tac: Paper Picking Using Omnidirectional Tactile Feedback in Dexterous Robotic Hands","Pei Lin, Yuzhe Huang, Jianpeng Ma, Chenxi Xiao, Wanlin Li, Ziyuan Jiao","Manipulation I","6. Manipulation I",5,6
"S6.6","GeoDEx: A Unified Geometric Framework for Tactile Dexterous and Extrinsic Manipulation under Force Uncertainty","Sirui Chen, Sergio Francisco Aguilera Marinovic, Soshi Iba, Rana Soltani Zarrin","Manipulation I","6. Manipulation I",6,6
"S6.7","Demonstrating the Octopi-1.5 Visual-Tactile-Language Model","Samson Yu, Lin Kelvin, Harold Soh","Manipulation I","6. Manipulation I",7,6
"S6.8","Demonstrating REASSEMBLE: A Multimodal Dataset for Contact-rich Robotic Assembly and Disassembly","Daniel Sliwowski, Shail Jadav, Sergej Stanovcic, Jędrzej Orbik, Johannes Heidersberger, Dongheui Lee","Manipulation I","6. Manipulation I",8,6
"S6.9","Robust Peg-in-Hole Assembly under Uncertainties via Compliant and Interactive Contact-Rich Manipulation","Yiting Chen, Kenneth Kimble, Howard H. Qian, Podshara Chanrungmaneekul, Robert Seney, Kaiyu Hang","Manipulation I","6. Manipulation I",9,6
"S7.1","AMO: Adaptive Motion Optimization for Hyper-Dexterous Humanoid Whole-Body Control","Jialong Li, Xuxin Cheng, Tianshu Huang, Shiqi Yang, Ri-Zhao Qiu, Xiaolong Wang","Humanoids","7. Humanoids",1,7
"S7.2","Demonstrating Berkeley Humanoid Lite: An Open-source, Accessible, and Customizable 3D-printed Humanoid Robot","Yufeng Chi, Qiayuan Liao, Junfeng Long, Xiaoyu Huang, Sophia Shao, Borivoje Nikolic, Zhongyu Li, Koushil Sreenath","Humanoids","7. Humanoids",2,7
"S7.3","Learning Getting-Up Policies for Real-World Humanoid Robots","Xialin He, Runpei Dong, Zixuan Chen, Saurabh Gupta","Humanoids","7. Humanoids",3,7
"S7.4","Learning Humanoid Standing-up Control across Diverse Postures","Tao Huang, Junli Ren, Huayi Wang, Zirui Wang, Qingwei Ben, Muning Wen, Xiao Chen, Jianan Li, Jiangmiao Pang","Humanoids","7. Humanoids",4,7
"S7.5","LangWBC: Language-directed Humanoid Whole-Body Control via End-to-end Learning","Yiyang Shao, Bike Zhang, Qiayuan Liao, Xiaoyu Huang, Yuman Gao, Yufeng Chi, Zhongyu Li, Sophia Shao, Koushil Sreenath","Humanoids","7. Humanoids",5,7
"S7.6","ASAP: Aligning Simulation and Real-World Physics for Learning Agile Humanoid Whole-Body Skills","Tairan He, Jiawei Gao, Wenli Xiao, Yuanhang Zhang, Zi Wang, Jiashun Wang, Zhengyi Luo, Guanqi He, Nikhil Sobanbabu, Chaoyi Pan, Zeji Yi, Guannan Qu, Kris Kitani, Jessica K. Hodgins, Linxi Fan, Yuke Zhu, Changliu Liu, Guanya Shi","Humanoids","7. Humanoids",6,7
"S7.7","A Unified and General Humanoid Whole-Body Controller for Fine-Grained Locomotion","Yufei Xue, Wentao Dong, Minghuan Liu, Weinan Zhang, Jiangmiao Pang","Humanoids","7. Humanoids",7,7
"S7.8","BeamDojo: Learning Agile Humanoid Locomotion on Sparse Footholds","Huayi Wang, Zirui Wang, Junli Ren, Qingwei Ben, Tao Huang, Weinan Zhang, Jiangmiao Pang","Humanoids","7. Humanoids",8,7
"S7.9","Gait-Net-augmented Implicit Kino-dynamic MPC for Dynamic Variable-frequency Humanoid Locomotion over Discrete Terrains","Junheng Li, Ziwei Duan, Junchao Ma, Quan Nguyen","Humanoids","7. Humanoids",9,7
"S7.10","HOMIE: Humanoid Loco-Manipulation with Isomorphic Exoskeleton Cockpit","Qingwei Ben, Feiyu Jia, Jia Zeng, Junting Dong, Dahua Lin, Jiangmiao Pang","Humanoids","7. Humanoids",10,7
"S8.1","Curating Demonstrations using Online Experience","Annie S. Chen, Alec M. Lessing, Yuejiang Liu, Chelsea Finn","Imitation Learning I","8. Imitation Learning I",1,8
"S8.2","CodeDiffuser: Attention-Enhanced Diffusion Policy via VLM-Generated Code for Instruction Ambiguity","Guang Yin, Yitong Li, Yixuan Wang, Dale Mcconachie, Paarth Shah, Kunimatsu Hashimoto, Huan Zhang, Katherine Liu, Yunzhu Li","Imitation Learning I","8. Imitation Learning I",2,8
"S8.3","Can We Detect Failures Without Failure Data? Uncertainty-Aware Runtime Failure Detection for Imitation Learning Policies","Chen Xu, Tony Khuong Nguyen, Emma Dixon, Christopher Rodriguez, Patrick Miller, Robert Lee, Paarth Shah, Rares Andrei Ambrus, Haruki Nishimura, Masha Itkina","Imitation Learning I","8. Imitation Learning I",3,8
"S8.4","Unified Video Action Model","Shuang Li, Yihuai Gao, Dorsa Sadigh, Shuran Song","Imitation Learning I","8. Imitation Learning I",4,8
"S8.5","DexWild: Dexterous Human Interactions for In-the-Wild Robot Policies","Tony Tao, Mohan Kumar Srirama, Jason Jingzhou Liu, Kenneth Shaw, Deepak Pathak","Imitation Learning I","8. Imitation Learning I",5,8
"S8.6","From Foresight to Forethought: VLM-In-the-Loop Policy Steering via Latent Alignment","Yilin Wu, Thomas Tian, Gokul Swamy, Andrea Bajcsy","Imitation Learning I","8. Imitation Learning I",6,8
"S8.7","Is Your Imitation Learning Policy Better than Mine? Policy Comparison with Near-Optimal Stopping","David Snyder, Asher James Hancock, Apurva Badithela, Emma Dixon, Patrick Miller, Rares Andrei Ambrus, Anirudha Majumdar, Masha Itkina, Haruki Nishimura","Imitation Learning I","8. Imitation Learning I",7,8
"S8.8","DDAT: Diffusion Policies Enforcing Dynamically Admissible Robot Trajectories","Jean-Baptiste Bouvier, Kanghyun Ryu, Qiayuan Liao, Koushil Sreenath, Negar Mehr","Imitation Learning I","8. Imitation Learning I",8,8
"S8.9","FACTR: Force-Attending Curriculum Training for Contact-Rich Policy Learning","Jason Jingzhou Liu, Yulong Li, Kenneth Shaw, Tony Tao, Russ Salakhutdinov, Deepak Pathak","Imitation Learning I","8. Imitation Learning I",9,8
"S9.1","Morpheus: A Neural-driven Animatronic Face with Hybrid Actuation and Diverse Emotion Control","Zongzheng Zhang, Jiawen Yang, Ziqiao Peng, Meng Yang, Jianzhu Ma, Lin Cheng, Huazhe Xu, Hang Zhao, Hao Zhao","HRI","9. HRI",1,9
"S9.2","Interface-level Intent Inference for Environment-agnostic Robot Teleoperation Assistance","Larisa Y.c. Loke, Brenna Argall","HRI","9. HRI",2,9
"S9.3","Sense and Sensibility: What makes an social robot convincing to high-school students?","Pablo Gonzalez-Oliveras, Olov Engwall, Ali Reza Majlesi","HRI","9. HRI",3,9
"S9.4","FEAST: A Flexible Mealtime-Assistance System Towards In-the-Wild Personalization","Rajat Kumar Jenamani, Tom Silver, Ben Dodson, Shiqin Tong, Anthony Song, Yuting Yang, Ziang Liu, Benjamin Howe, Aimee Whitneck, Tapomayukh Bhattacharjee","HRI","9. HRI",4,9
"S9.5","Demonstrating a Control Framework for Physical Human-Robot Interaction Toward Industrial Applications","Bastien Muraccioli, Mathieu Celerier, Mehdi Benallegue, Gentiane Venture","HRI","9. HRI",5,9
"S9.6","Users and Wizards in Conversations: How WoZ Interface Choices Define Human-Robot Interactions","Ekaterina Torubarova, Jura Miniotaite, Andre Pereira","HRI","9. HRI",6,9
"S9.7","Demonstrating Shared Force-Language Embeddings for Natural Human-Robot Communication","Ravi Tejwani, Karl Angel Velazquez, John Payne, Paolo Bonato, Haruhiko Asada","HRI","9. HRI",7,9
"S9.8","Optimal Interactive Learning on the Job via Facility Location Planning","Shivam Vats, Michelle D. Zhao, Patrick Callaghan, Mingxi Jia, Maxim Likhachev, Oliver Kroemer, George Konidaris","HRI","9. HRI",8,9
"S9.9","A Robot-Assisted Approach to Small Talk Training for Adults with ASD","Rebecca Ramnauth, Dražen Brščić, Brian Scassellati","HRI","9. HRI",9,9
"S9.10","Interruption Handling for Conversational Robots","Shiye Cao, Jiwon Moon, Amama Mahmood, Victor Nikhil Antony, Ziang Xiao, Anqi Liu, Chien-Ming Huang","HRI","9. HRI",10,9
"S9.11","ASTRID: A Robotic Tutor for Nurse Training to Reduce Healthcare-Associated Infections","Peizhu Qian, Filip Bajraktari, Carlos Quintero-Pena, Qingxi Meng, Shannan Hamlin, Lydia E. Kavraki, Vaibhav V. Unhelkar","HRI","9. HRI",11,9
"S9.12","Towards Uncertainty Unification: A Case Study for Preference Learning","Shaoting Peng, Haonan Chen, Katherine Rose Driggs-Campbell","HRI","9. HRI",12,9
"S9.13","Demonstrating Arena 5.0: A Photorealistic ROS2 Simulation Framework for Developing and Benchmarking Social Navigation","Linh Kästner, Volodymyr Shcherbyna, Harold Soh, Giang Nguyen Huu Truong, Do Duc Anh, Ton Manh Kien, Tim Seeger, Ahmed Martban, Vu Thanh Lam, Nguyen Quoc Hung, Pham Thai Hoang Tung, Tran Dang An, Eva Wiese, Maximilian Ho-Kyoung Schreff","HRI","9. HRI",13,9
"S9.14","Safety with Agency: Human-Centered Safety Filter with Application to AI-Assisted Motorsports","Donggeon David Oh, Justin Lidard, Haimin Hu, Himani Sinhmar, Elle Lazarski, Deepak Edakkattil Gopinath, Emily Sumner, Jonathan Decastro, Guy Rosman, Naomi Leonard, Jaime Fernández Fisac","HRI","9. HRI",14,9
"S10.1","Resolving Conflicting Constraints in Multi-Agent Reinforcement Learning with Layered Safety","Jasmine Jerry Aloor, Jason Jangho Choi, Jingqi Li, Maria G. Mendoza, Hamsa Balakrishnan, Claire Tomlin","Multi-Robot Systems","10. Multi-Robot Systems",1,10
"S10.2","FERMI: Flexible Radio Mapping with a Hybrid Propagation Model and Scalable Autonomous Data Collection","Yiming Luo, Yunfei Wang, Hongming Chen, Chengkai Wu, Ximin Lyu, Jinni Zhou, Jun Ma, Fu Zhang, Boyu Zhou","Multi-Robot Systems","10. Multi-Robot Systems",2,10
"S10.3","Online Competitive Information Gathering for Partially Observable Trajectory Games","Mel Krusniak, Hang Xu, Forrest John Laine","Multi-Robot Systems","10. Multi-Robot Systems",3,10
"S10.4","Collaborative Object Transportation in Space via Impact Interactions","Joris Verhagen, Jana Tumova","Multi-Robot Systems","10. Multi-Robot Systems",4,10
"S10.5","APEX-MR: Multi-Robot Asynchronous Planning and Execution for Cooperative Assembly","Philip Huang, Ruixuan Liu, Shobhit Aggarwal, Changliu Liu, Jiaoyang Li","Multi-Robot Systems","10. Multi-Robot Systems",5,10
"S10.6","Hierarchical Temporal Logic Task and Motion Planning for Multi-Robot Systems","Zhongqi Wei, Xusheng Luo, Changliu Liu","Multi-Robot Systems","10. Multi-Robot Systems",6,10
"S10.7","A Probabilistic Measure of Multi-Robot Connectivity and Ergodic Optimal Control","Yongce Liu, Zhongqiang Ren","Multi-Robot Systems","10. Multi-Robot Systems",7,10
"S10.8","How to Coordinate UAVs and UGVs for Efficient Mission Planning? Optimizing Energy-Constrained Cooperative Routing with a DRL Framework","Mohammad Safwan Mondal, Subramanian Ramasamy, Pranav Bhounsule","Multi-Robot Systems","10. Multi-Robot Systems",8,10
"S10.9","Influence of Static and Dynamic Downwash Interactions on Multi-Quadrotor Systems","Anoop Kiran, Nora Ayanian, Kenneth Breuer","Multi-Robot Systems","10. Multi-Robot Systems",9,10
"S11.1","DexterityGen:  Foundation Controller for Unprecedented Dexterity","Zhao-Heng Yin, Changhao Wang, Luis Pineda, Francois Robert Hogan, Chaithanya Krishna Bodduluri, Akash Sharma, Patrick Lancaster, Ishita Prasad, Mrinal Kalakrishnan, Jitendra Malik, Mike Lambeta, Tingfan Wu, Pieter Abbeel, Mustafa Mukadam","Manipulation II","11. Manipulation II",1,11
"S11.2","DOGlove: Dexterous Manipulation with a Low-Cost Open-Source Haptic Force Feedback Glove","Han Zhang, Songbo Hu, Zhecheng Yuan, Huazhe Xu","Manipulation II","11. Manipulation II",2,11
"S11.3","Dexonomy: Synthesizing All Dexterous Grasp Types in a Grasp Taxonomy","Jiayi Chen, Yubin Ke, Lin Peng, He Wang","Manipulation II","11. Manipulation II",3,11
"S11.4","Dex1B: Learning with 1B Demonstrations for Dexterous Manipulation","Jianglong Ye, Keyi Wang, Chengjing Yuan, Ruihan Yang, Yiquan Li, Jiyue Zhu, Yuzhe Qin, Xueyan Zou, Xiaolong Wang","Manipulation II","11. Manipulation II",4,11
"S11.5","Demonstrating Multi-Suction Item Picking at Scale via Multi-Modal Learning of Pick Success","Che Wang, Jeroen Vanbaar, Chaitanya Mitash, Shuai Li, Dylan Randle, Weiyao Wang, Sumedh Anand Sontakke, Kostas Bekris, Kapil Katyal","Manipulation II","11. Manipulation II",5,11
"S11.6","Vib2Move: In-hand Object Reconfiguration via Fingertip Micro-vibrations","Xili Yi, Nima Fazeli","Manipulation II","11. Manipulation II",6,11
"S11.7","Sim-and-Real Co-Training: A Simple Recipe for Vision-Based Robotic Manipulation","Abhiram Maddukuri, Zhenyu Jiang, Lawrence Yunliang Chen, Soroush Nasiriany, Yuqi Xie, Yu Fang, Wenqi Huang, Zu Wang, Zhenjia Xu, Nikita Chernyadev, Scott Reed, Ken Goldberg, Ajay Mandlekar, Linxi Fan, Yuke Zhu","Manipulation II","11. Manipulation II",7,11
"S11.8","CordViP: Correspondence-based Visuomotor Policy for Dexterous Manipulation in Real-World","Yankai Fu, Ning Chen, Qiuxuan Feng, Zichen Zhou, Mengzhen Liu, Mingdong Wu, Tianxing Chen, Shanyu Rong, Jiaming Liu, Hao Dong, Shanghang Zhang","Manipulation II","11. Manipulation II",8,11
"S11.9","Complementarity-Free Multi-Contact Modeling and Optimization for Dexterous Manipulation","Wanxin Jin","Manipulation II","11. Manipulation II",9,11
"S12.1","Safe Beyond the Horizon: Efficient Sampling-based MPC with Neural Control Barrier Functions","Ji Yin, Oswin So, Eric Yang Yu, Chuchu Fan, Panagiotis Tsiotras","Control and Dynamics","12. Control and Dynamics",1,12
"S12.2","Dynamic Safety in Complex Environments: Synthesizing Safety Filters with Poisson’s Equation","Gilbert Bahati, Ryan M. Bena, Aaron Ames","Control and Dynamics","12. Control and Dynamics",2,12
"S12.3","Bridging Model Predictive Control and Deep Learning for Scalable Reachability Analysis","Zeyuan Feng, Le Qiu, Somil Bansal","Control and Dynamics","12. Control and Dynamics",3,12
"S12.4","Distilling Contact Planning for Fast Trajectory Optimization in Robot Air Hockey","Julius Jankowski, Ante Marić, Puze Liu, Davide Tateo, Jan Peters, Sylvain Calinon","Control and Dynamics","12. Control and Dynamics",4,12
"S12.5","Leveling the Playing Field: Carefully Comparing Classical and Learned Controllers for Quadrotor Trajectory Tracking","Pratik Kunapuli, Jake Welde, Dinesh Jayaraman, Vijay Kumar","Control and Dynamics","12. Control and Dynamics",5,12
